Fund Holdings as of,"2024/04/02"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"6178","JAPAN POST HOLDINGS LTD","Services","Equity","1,745,199,000.00","0.12","1,745,199,000.00","1,186,000.00","1,471.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6103","OKUMA CORP","Machinery","Equity","1,679,613,200.00","0.11","1,679,613,200.00","237,200.00","7,081.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5831","SHIZUOKA FINANCIAL GROUP INC","Banks","Equity","1,669,888,000.00","0.11","1,669,888,000.00","1,186,000.00","1,408.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Machinery","Equity","1,655,656,000.00","0.11","1,655,656,000.00","1,186,000.00","1,396.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6752","PANASONIC HOLDINGS CORP","Electric Appliances","Equity","1,636,680,000.00","0.11","1,636,680,000.00","1,186,000.00","1,380.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6952","CASIO COMPUTER LTD","Electric Appliances","Equity","1,614,146,000.00","0.11","1,614,146,000.00","1,186,000.00","1,361.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6473","JTEKT CORP","Machinery","Equity","1,606,437,000.00","0.11","1,606,437,000.00","1,186,000.00","1,354.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2269","MEIJI HOLDINGS LTD","Foods","Equity","1,602,997,600.00","0.11","1,602,997,600.00","474,400.00","3,379.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7752","RICOH LTD","Electric Appliances","Equity","1,590,426,000.00","0.11","1,590,426,000.00","1,186,000.00","1,341.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9104","MITSUI OSK LINES LTD","Marine Transportation","Equity","1,575,838,200.00","0.11","1,575,838,200.00","355,800.00","4,429.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8804","TOKYO TATEMONO LTD","Real Estate ex REIT","Equity","1,490,505,500.00","0.10","1,490,505,500.00","593,000.00","2,513.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8331","CHIBA BANK LTD","Banks","Equity","1,442,769,000.00","0.10","1,442,769,000.00","1,186,000.00","1,216.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3289","TOKYU FUDOSAN HOLDINGS CORP","Real Estate ex REIT","Equity","1,427,351,000.00","0.10","1,427,351,000.00","1,186,000.00","1,203.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
