"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"176","Sedlmayr Grund und Immobilien AG","SPB.F","5866340","1461.67","Germany"
"177","Leifheit","LEI.DE","5787470","16.62","Germany"
"178","PSI Software","PSAN.DE","4248690","22.74","Germany"
"179","Patrizia Immobilien","P1Z.VI","4092080","9.5","Germany"
"180","HELMA Eigenheimbau","H5E.DE","3776250","0.28","Germany"
"181","Serviceware","SJJ.DE","-2489670","12.99","Germany"
"182","Branicks Group","DIC.DE","-7265010","4.26","Germany"
"183","Hypoport","HYQ.F","-8558400","262.88","Germany"
"184","VIA optronics AG","VIAO","-8620770","0.761","Germany"
"185","Westwing Group","WEW.DE","-12064100","8.47","Germany"
"186","Basler Aktiengesellschaft","BSL.DE","-12662200","12.6","Germany"
"187","HanseYachts AG","H9Y.DE","-13156500","2.82","Germany"
"188","MYT Netherlands Parent (Mytheresa)","MYTE","-28104000","3.685","Germany"
"189","Mainz Biomed","MYNZ","-29301100","1.0747","Germany"
"190","InflaRx","IFRX","-37469200","1.51","Germany"
"191","Spark Networks","LOV","-38911000","0.212","Germany"
"192","Mister Spex","MRX.F","-46339300","3.33","Germany"
"193","BayWa","BYW.F","-48731200","35.19","Germany"
"194","Atai Life Sciences","ATAI","-56566000","2.57","Germany"
"195","Mynaric","MYNA","-79044300","4.77","Germany"
"196","Evotec","EVO","-103287000","7.85","Germany"
"197","Immatics","IMTX","-104275000","10.68","Germany"
"198","Jumia","JMIA","-127508000","5.18","Germany"
"199","Affimed","AFMD","-128365000","6.33","Germany"
"200","Delivery Hero","DHER.F","-129615000","34.66","Germany"
"201","About You","YOU.DE","-145826000","4.57","Germany"
"202","Compleo Charging Solutions","C0M.F","-146021000","0.31","Germany"
"203","AUTO1","AG1.F","-153077000","5.32","Germany"
"204","trivago","TRVG","-159359000","2.77","Germany"
"205","ProSiebenSat.1 Media","PSM.F","-179958000","7.8","Germany"
"206","Morphosys","MOR","-201316000","18.122","Germany"
"207","PREOS Real Estate","PAG.F","-229698000","0.05","Germany"
"208","Varta","VAR1.F","-307304000","15.71","Germany"
"209","Nordex","NDX1.F","-318008000","13.27","Germany"
"210","Curevac","CVAC","-325163000","3","Germany"
"211","Lanxess","LXS.F","-328969000","30.08","Germany"
"212","Evonik Industries","EVK.DE","-377052000","20.82","Germany"
"213","Lilium","LILM","-429834000","0.9215","Germany"
"214","TAG Immobilien","TEG.F","-453292000","13.17","Germany"
"215","Leoni AG","LEO.DE","-619888000","0.04","Germany"
"216","Wacker Chemie","WCH.F","-664649000","124.51","Germany"
"217","Siemens Energy","ENR.F","-908263000","19.65","Germany"
"218","LEG Immobilien","LEG.DE","-1991400000","83.04","Germany"
"219","Thyssenkrupp","TKA.F","-2103670000","5.73","Germany"
"220","Vonovia","VNA.DE","-9197110000","27.65","Germany"
